.,Type,Vendor,Model,Serial number,CPU,Memory,GB,Grading,Comments,Repairs,Locked,Locked to,kan sælges på Refurbed,Keyboard,Battery,Battery threshold,Internal
1,Laptop,HP,HP EliteBook 840 G5,5CG9051NZG,i7-8650U,16 GB DDR4,256 GB,C,"Normal W&T, Dents (Palmrest)",,,,FALSE,DK,61.00%,Below,PPT
1,Laptop,HP,EliteBook 840 G6,5CG9425KJK,i7-8665U,16 GB DDR4,256 GB,C,"Normal W&T, Heavy Tear, (Palmrest) Small Marks on Screen",,,,FALSE,DK,69.00%,Below,PPT
1,Laptop,Dell,Latitude 3420,DDX8HS3,i5-1145G7,16 GB DDR4,256 GB,B,Normal W&T,,,,FALSE,DK,82.00%,Above,Januar 25
1,Laptop,Dell,Latitude 3420,64X8HS3,i5-1145G7,16 GB DDR4,256 GB,B,Normal W&T,,Yes,GBT,FALSE,Scandinavian (MUI),92.00%,Above,Januar 25
1,Laptop,Dell,Latitude 3420,6QWRGS3,i5-1145G7,16 GB DDR4,256 GB NVMe,B,Normal W&T,,Yes,GBT,FALSE,Belgian,83.00%,Above,February
1,Laptop,Dell,Latitude 3420,D3X8HS3,i5-1145G7,16 GB DDR4,256 GB NVMe,B,Normal W&T,,Yes,GBT,FALSE,Scandinavian,100.00%,Above,February
1,Laptop,Dell,Latitude 3420,674WGS3,i5-1145G7,16 GB DDR4,256 GB,B,Normal W&T,,MAR,,TRUE,German,100.00%,Above,
1,Laptop,Dell,Latitude 5400,42GGQ13,i7-8665U,16 GB DDR4,256 GB,C,"Normal W&T, Whitespots on screen",,MAR,,FALSE,DK,86.00%,Above,November
1,Laptop,Dell,Latitude 5400,56NZ733,i7-8665U,16 GB DDR4,256 GB,C,"Normal W&T, Whitespots on screen",,No,,FALSE,DK,95.00%,Above,November
1,Laptop,Dell,Latitude 5400,26WSN13,i7-8665U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Whitespots on Screen, Defective Fan",,No,,FALSE,English (International),98.00%,Above,
